CameraName,EntryOrExit,Device Id,ParkadeName
RoseEntry13,Entry,D8DC7032-E6CA-4F09-818C-ABCAFD4E2AFB,
RoseEntry22,Entry,8AEE758A-C7D5-4B9B-9F3E-8E9D67FBDBE6,
RoseEntry31,Entry,78474174-61AE-4D8F-8D79-A6DD2B6EEEFA,
NorthEntry11,Entry,584E0CE0-E0BB-4324-B1E0-070950B456AC,
NorthEntry22,Entry,5B88D16F-4F3C-4D03-B158-9301BA7F7B95,
NorthEntry33,Entry,149ADAA5-7DE2-4EFE-8E04-490DB7B4F8BF,
HealthEntry13,Entry,68629885-7E9F-4B8F-8306-D1001D36720D,
HealthEntry22,Entry,EB498796-DD80-46D0-AE40-8DED5983B66D,
HealthEntry31,Entry,A06921B1-628E-4233-8579-E6701894DC2F,
WestEntry13,Entry,20A08C9D-7AF4-40C9-BA2B-53F6F5FC8B79,
WestEntry22,Entry,B828434B-DE54-4FA8-83F4-65461D01FE97,
WestEntry31,Entry,D48B0656-5B5A-4675-A18C-DBAACF916521,
FraserEntry12,Entry,2084F4DA-E6EC-4013-9B79-2414D488F804,
FraserEntry21,Entry,B4FD97C7-41C8-40F7-9772-759752373A53,
TBirdEntry13,Entry,AD848ED9-8191-417E-B7D0-92B410071D17,
TBirdEntry22,Entry,4478A7D4-34D8-46D5-90EA-FD5F6FCD36FB,
TBirdEntry31,Entry,7C72ADB0-8824-4EB3-B16F-B57FCC09BDF3,
UBRDLotEntry,Entry,46C5937F-40AE-475A-B6BC-6E24F9CE2BC7,
RoseExit13,Exit,F19601FF-9760-4A94-A0BE-610EF56E54FF,
RoseExit22,Exit,C4C0C45E-5A44-4289-A493-0B715EC3AF49,
RoseExit31,Exit,64DBEC73-0371-4173-9F38-A329F83167AB,
NorthExit11,Exit,D6A61185-4243-416B-A504-0FB382F5179F,
NorthExit22,Exit,91CC87DF-F134-4885-9652-62022312BD1E,
NorthExit33,Exit,4484FA3E-2618-4C08-8D36-DD4BE850A8ED,
HealthExit13,Exit,D98F1C51-4A1E-4DE0-84F0-43E558549902,
HealthExit22,Exit,B28700D9-487C-4336-87AC-1653C5E9742A,
HealthExit31,Exit,C5CA8339-436F-4A70-AF30-D94B9DE2F39F,
WestExit11,Exit,2D0AFCFA-0262-4D06-B4D4-BC8D1A36D1FD,
WestExit22,Exit,B0DDAA4E-0632-4F68-9246-5B19720CDF60,
WestExit33,Exit,2CF2C88E-0FD6-47D7-A52C-0E7C00C75C3C,
FraserExit12,Exit,F7495E65-1517-495A-ABD4-C38C7B8BD364,
FraserExit21,Exit,1F278E41-39C8-4A64-9F0A-FAF0A4841D2F,
TBirdExit13,Exit,1C5039B2-AC60-46B8-90B6-B0ED79FFE364,
TBirdExit22,Exit,61444B24-B87E-4D3F-9E0B-3C18BE92B48C,
TBirdExit31,Exit,85BFC86F-F12F-4115-847F-9E4671BC72DF,
UBRDLotExit,Exit,520F3DF1-A246-4498-90CA-91C37C048350,
Mirai55L,,579B4523-F7D5-40EF-BC44-C451AF002879,
Mirai55R,,599B687E-9425-4222-8B26-008AB6040543,
Mirai54L,,8F4C7D82-B7C8-4C9D-B7A8-D9ECCA30110D,
Mirai54R,,B0BE6E40-BACA-4769-8F28-73F519BE6D78,
KiaR,,E2C92223-DE53-4D36-9E6B-D8907A9C601B,
KiaL,,F4E3015A-DEF1-4FBB-9B7C-4D1055FA4AA1,
