zone_id,display_name
79,ACU
80,Fraser River
81,Fraser River - Level 2
82,Health Sciences
83,Health Sciences - Ground Level
84,Nest
85,North
86,TBird
87,TBird - Level 1
88,University Boulevard
89,West
90,West - Level 1
91,West - Level 4
92,UBC-South At Large
161,UBC-North
162,UBC-South
164,UBC-North Upper
165,UBC-North Lower
166,Stadium
167,Osborne
171,Cecil Green
172,Rose Garden
173,Rose Garden - Level 3
174,Rose Garden - Level 5
185,Buchannan Meters
349,2389 Health Sciences Mall
379,Accessible Stalls
382,Street Parking
383,East Mall
408,Lower Mall
409,West Mall
410,Loading Zone
411,Pickup Dropoff
417,PD Lower Mall
