PARKADE,MAE,ΔMAE,R2,ΔR2
LightGBM - longterm,,,,
North,45.612084247370106,6.230415752629895,0.8030469605246262,-0.003753039475373754
West,45.60097703390964,22.936722966090358,0.8616408479707475,0.09654084797074747
Rose,40.16724734838205,10.654252651617952,0.8073848540532775,0.07438485405327755
Health Sciences,43.71848486448378,-38.27178486448378,0.9017837275414332,0.03448372754143325
Fraser,36.87636413030494,4.949635869695058,0.8078597335448694,0.06215973354486937
Thunderbird,77.783959071186,17.31134092881399,0.7043928072073871,0.040592807207387116
University Lot Blvd,14.986967763724234,4.274032236275765,0.482864847252216,0.222864847252216
,,,,
LightGBM - week,,,,
North,34.22973221698964,17.612767783010362,0.8442974890648404,0.037497489064840406
West,45.59468236589877,22.94301763410123,0.8541425169170258,0.0890425169170258
Rose,43.07453332803305,7.746966671966952,0.7524842297184262,0.019484229718426227
Health Sciences,45.14617924169546,-39.69947924169546,0.9021537864632424,0.03485378646324244
Fraser,34.043876202940325,7.7821237970596755,0.8058451688099382,0.06014516880993814
Thunderbird,84.82361944380087,10.27168055619913,0.669505072009994,0.005705072009994039
University Lot Blvd,14.056709886457911,5.204290113542088,0.557024026169028,0.297024026169028
,,,,
LightGBM - hour,,,,
North,22.630399196379447,29.212100803620555,0.939616194156156,0.1328161941561561
West,27.45891884848326,41.078781151516736,0.938714399901485,0.17361439990148497
Rose,26.047811880326627,24.773688119673373,0.8844826979230763,0.15148269792307634
Health Sciences,25.70982595375412,-20.26312595375412,0.9543230714188644,0.08702307141886445
Fraser,14.861372057135132,26.96462794286487,0.9465923242647142,0.20089232426471415
Thunderbird,43.53678020400604,51.55851979599395,0.8947558323916481,0.23095583239164819
University Lot Blvd,10.013118699933376,9.247881300066624,0.728329751699103,0.46832975169910296
,,,,
LightGBM - day,,,,
North,29.120895864150523,22.72160413584948,0.9003855266103772,0.09358552661037722
West,35.729404977993624,32.80829502200638,0.8955351278322056,0.13043512783220557
Rose,33.15246616454829,17.669033835451714,0.8442530327711963,0.11125303277119636
Health Sciences,36.67477307881585,-31.228073078815854,0.9265149775960768,0.059214977596076857
Fraser,26.220331738714258,15.605668261285743,0.884281487375064,0.13858148737506393
Thunderbird,63.72638335446242,31.368916645537574,0.7811750927353652,0.11737509273536528
University Lot Blvd,11.893455084680475,7.367544915319524,0.6515474873025284,0.3915474873025284
,,,,
